站号       经度         纬度         省份    城市                    站点                        系统编号
210700405  121.1303     41.1386      辽宁    锦州市                  北湖公园                    1771A
210800401  122.2414     40.6592      辽宁    营口市                  学府南路                    1596A
210800403  122.2703     40.7094      辽宁    营口市                  大庆路                      1597A
210800405  122.215      40.6511      辽宁    营口市                  镜湖西路                    1598A
210800409  122.1658     40.6789      辽宁    营口市                  西炮台                      1599A
210900411  121.6178     41.9967      辽宁    阜新市                  工业园区                    2207A
210900412  121.6561     42.0186      辽宁    阜新市                  长青街                      2208A
210900413  121.6972     42.0503      辽宁    阜新市                  农业园区                    2209A
210900414  121.6722     42.0228      辽宁    阜新市                  东苑                        2210A
210900415  121.6592     42.0486      辽宁    阜新市                  玉龙新城                    2211A
211000405  123.2        41.1953      辽宁    辽阳市                  宏伟区                      2212A
211000406  123.15       41.2553      辽宁    辽阳市                  新华园                      2213A
211000407  123.1761     41.2736      辽宁    辽阳市                  滨河路                      2214A
211000408  123.1417     41.2894      辽宁    辽阳市                  铁西工业园                  2215A
211100401  122.0247     41.1556      辽宁    盘锦市                  开发区                      1604A
211100402  122.0539     41.0903      辽宁    盘锦市                  兴隆台                      1605A
211100407  121.835      41.1042      辽宁    盘锦市                  新生街道                    1606A
211200401  123.8139     42.3022      辽宁    铁岭市                  汇工街西                    2216A
211200405  123.8831     42.2953      辽宁    铁岭市                  水上乐园                    2217A
211200411  123.8489     42.2864      辽宁    铁岭市                  银州路东段                  2218A
211200412  123.7153     42.2217      辽宁    铁岭市                  金沙江路北                  2219A
211300751  120.4439     41.5931      辽宁    朝阳市                  西梁                        2220A
211300752  120.4486     41.5672      辽宁    朝阳市                  河畔小区                    2221A
211300753  120.4247     41.5647      辽宁    朝阳市                  八里堡                      2222A
211300754  120.3939     41.615       辽宁    朝阳市                  农业园区                    2223A
211400051  120.9092     40.7136      辽宁    葫芦岛市                龙港区                      1607A
211400052  120.8392     40.7514      辽宁    葫芦岛市                化工街                      1608A
211400053  120.8478     40.715       辽宁    葫芦岛市                新区                        1609A
211400054  120.8631     40.7736      辽宁    葫芦岛市                东城区                      1610A
220100001  125.633      43.55        吉林    长春市                  甩湾子(对照点)              1125A
220100051  125.323      43.9167      吉林    长春市                  食品厂                      1119A
220100052  125.287      43.91        吉林    长春市                  客车厂                      1120A
220100053  125.2786     43.84        吉林    长春市                  邮电学院                    1121A
220100054  125.3649     43.8748      吉林    长春市                  劳动公园                    1122A
220100055  125.325      43.8694      吉林    长春市                  园林处                      1123A
220100056  125.454      43.7878      吉林    长春市                  净月潭                      1124A
220100057  125.25       43.8167      吉林    长春市                  高新区管委会                1127A
220100058  125.217      43.85        吉林    长春市                  岱山公园                    1128A
220100059  125.417      43.8667      吉林    长春市                  经开区环卫处                1126A
220200005  126.6772     43.7256      吉林    吉林市                  丰满(对照点)                1778A
220200100  126.4738889  43.95305556  吉林    吉林市                  九站                        2868A
220200102  126.555      43.8875      吉林    吉林市                  哈达湾                      1772A
220200103  126.5844     43.8358      吉林    吉林市                  东局子                      1773A
220200104  126.4978     43.8228      吉林    吉林市                  电力学院                    1774A
220200105  126.5786     43.8947      吉林    吉林市                  江北                        1775A
220200115  126.55       43.8256      吉林    吉林市                  江南公园                    1776A
220300130  124.3419     43.1747      吉林    四平市                  监测站                      2224A
220300131  124.3711     43.1594      吉林    四平市                  一商场                      2225A
220300136  124.3897     43.1847      吉林    四平市                  境园                        2226A
220400404  125.1358     42.8947      吉林    辽源市                  环保局                      2227A
220400405  125.1567     42.8953      吉林    辽源市                  污水处理厂                  2228A
220500411  125.9361     41.7156      吉林    通化市                  光明                        2229A
220500412  125.9486     41.7381      吉林    通化市                  铁路                        2230A
220600423  126.4047     41.9206      吉林    白山市                  喜丰                        2231A
220600424  126.4078     41.9419      吉林    白山市                  环保局                      2232A
220700431  124.8292     45.0878      吉林    松原市                  江南                        2233A
220700432  124.8528     45.1642      吉林    松原市                  江北                        2234A
220800453  122.8444     45.6289      吉林    白城市                  洮北区环保局                2235A
220800454  122.8211     45.6175      吉林    白城市                  市环保局                    2236A
222400447  129.4892     42.8939      吉林    延边朝鲜族自治州        妇幼医院                    2237A
222400448  129.5042     42.9061      吉林    延边朝鲜族自治州        延边医院                    2238A
222400449  129.3675     42.8775      吉林    延边朝鲜族自治州        朝阳川镇医院                2239A
230100001  126.542      45.755       黑龙江  哈尔滨市                岭北(对照点)                1129A
230100061  126.689      45.7733      黑龙江  哈尔滨市                太平宏伟公园                1133A
230100073  126.646      45.7258      黑龙江  哈尔滨市                动力和平路                  1136A
230100081  126.635      45.7667      黑龙江  哈尔滨市                道外承德广场                1134A
230100083  126.685      45.7319      黑龙江  哈尔滨市                香坊红旗大街                1135A
230100084  126.593      45.7478      黑龙江  哈尔滨市                道里建国路                  1137A
230100085  126.615      45.61        黑龙江  哈尔滨市                平房东轻厂                  1138A
230100086  126.561      45.8167      黑龙江  哈尔滨市                松北商大                    1130A
230100087  126.979      45.5422      黑龙江  哈尔滨市                阿城会宁                    1131A
23010088   126.6106     45.9819      黑龙江  哈尔滨市                呼兰师专                    1139A
23010089   126.6206     45.6842      黑龙江  哈尔滨市                省农科院                    1140A
230200401  123.9305     47.3636      黑龙江  齐齐哈尔市              安居小区                    1779A
230200402  123.9305     47.3386      黑龙江  齐齐哈尔市              中心广场                    1780A
230200403  123.9483     47.3227      黑龙江  齐齐哈尔市              农牧车辆厂                  1781A
230200404  123.6261     47.203       黑龙江  齐齐哈尔市              富区环保局                  1782A
230200405  123.945      47.2988      黑龙江  齐齐哈尔市              市环境监测站                1783A
230300001  130.9298     45.2978      黑龙江  鸡西市                  气象局(对照点)              2243A
230300411  130.962      45.2924      黑龙江  鸡西市                  环保局                      2240A
230300412  130.9817     45.305       黑龙江  鸡西市                  自来水公司                  2241A
230300413  131.0103     45.2948      黑龙江  鸡西市                  白酒厂                      2242A
230400001  130.1097     47.3382      黑龙江  鹤岗市                  五号水库(对照点)            2247A
230400051  130.2659     47.3349      黑龙江  鹤岗市                  哈啤分公司                  2244A
230400052  130.261      47.2753      黑龙江  鹤岗市                  斯达机电                    2245A
230400081  130.3172     47.3489      黑龙江  鹤岗市                  东山纸板厂                  2246A
230500001  131.1572     46.5888      黑龙江  双鸭山市                苗圃(对照点)                2251A
230500421  131.1638     46.6572      黑龙江  双鸭山市                双合村                      2248A
230500422  131.1651     46.619       黑龙江  双鸭山市                南小市                      2249A
230500426  131.1516     46.6462      黑龙江  双鸭山市                环保局                      2250A
230600061  124.8354     46.0347      黑龙江  大庆市                  大同区                      1789A
230600062  125.112      46.528       黑龙江  大庆市                  龙凤区                      1790A
230600063  124.8847     46.3991      黑龙江  大庆市                  红岗区                      1791A
230600081  125.1386     46.5776      黑龙江  大庆市                  萨尔图区                    1792A
230600082  124.8648     46.6219      黑龙江  大庆市                  让胡路区                    1793A
230700050  129.4942     48.4658      黑龙江  伊春市                  汤旺河国家公园(对照点)      2254A
230700051  128.8736     47.7222      黑龙江  伊春市                  中心医院                    2252A
230700052  128.9094     47.7317      黑龙江  伊春市                  林管局                      2253A
230800001  130.3794     46.7588      黑龙江  佳木斯市                四丰(对照点)                2259A
230800431  130.2719     46.8025      黑龙江  佳木斯市                佳纺                        2255A
230800435  130.3961     46.8267      黑龙江  佳木斯市                发电厂                      2256A
230800437  130.3258     46.7975      黑龙江  佳木斯市                环保局                      2257A
230800438  130.3648     46.8032      黑龙江  佳木斯市                十一中                      2258A
230900001  130.9467     45.8309      黑龙江  七台河市                葫头沟(对照点)              2262A
230900061  131.0032     45.7677      黑龙江  七台河市                环保局                      2260A
230900066  130.8625     45.8194      黑龙江  七台河市                新建                        2261A
231000355  129.61       44.561       黑龙江  牡丹江市                环保大楼                    1784A
231000441  129.6115     44.5782      黑龙江  牡丹江市                文化广场                    1785A
231000442  129.5902     44.5952      黑龙江  牡丹江市                第一医院                    1786A
231000443  129.6459     44.6104      黑龙江  牡丹江市                机车工厂                    1787A
231000444  129.6386     44.5462      黑龙江  牡丹江市                第一中学                    1788A
231102001  127.4143     50.2538      黑龙江  黑河市                  地震局(对照点)              2265A
231102461  127.4961     50.2486      黑龙江  黑河市                  交通局                      2263A
231102462  127.5044     50.2391      黑龙江  黑河市                  党校                        2264A
231200471  126.9934     46.6384      黑龙江  绥化市                  人和东街                    2266A
231200472  126.9636     46.6527      黑龙江  绥化市                  党政办公中心                2267A
232700401  124.1186     50.4269      黑龙江  大兴安岭地区            环保局                      2268A
232700402  124.1303     50.4217      黑龙江  大兴安岭地区            公安局                      2269A
310000004  120.978      31.0935      上海    上海市                  青浦淀山湖(对照点)          1146A
310000051  121.4        31.238       上海    上海市                  普陀                        1141A
310000052  121.536      31.2659      上海    上海市                  杨浦四漂                    1145A
310000053  121.478      31.2036      上海    上海市                  十五厂                      1142A
310000055  121.467      31.3008      上海    上海市                  虹口                        1143A
310000056  121.425      31.2261      上海    上海市                  静安监测站                  1147A
310000057  121.412      31.1654      上海    上海市                  徐汇上师大                  1144A
310000058  121.533      31.2284      上海    上海市                  浦东新区监测站              1149A
310000059  121.577      31.2071      上海    上海市                  浦东张江                    1150A
310000251  121.703      31.1907      上海    上海市                  浦东川沙                    1148A
320100051  118.795      32.0775      江苏    南京市                  玄武湖                      1156A
320100052  118.803      32.0314      江苏    南京市                  瑞金路                      1155A
320100053  118.777      32.0144      江苏    南京市                  中华门                      1154A
320100054  118.749      32.0572      江苏    南京市                  草场门                      1152A
320100055  118.778      32.0723      江苏    南京市                  山西路                      1153A
320100056  118.907      32.105       江苏    南京市                  仙林大学城                  1159A
320100057  118.737      32.0092      江苏    南京市                  奥体中心                    1158A
320100058  118.6414     32.0964      江苏    南京市                  浦口                        1157A
320100068  118.803      32.1083      江苏    南京市                  迈皋桥                      1151A
320200102  120.245      31.5631      江苏    无锡市                  荣巷                        1194A
320200103  120.294      31.56        江苏    无锡市                  曹张                        1190A
320200104  120.354      31.5475      江苏    无锡市                  旺庄                        1193A
320200107  120.354      31.5848      江苏    无锡市                  东亭                        1192A
320200108  120.242      31.5031      江苏    无锡市                  漆塘                        1191A
320200109  120.288      31.6842      江苏    无锡市                  堰桥                        1195A
320200110  120.275      31.6219      江苏    无锡市                  黄巷                        1189A
320200111  120.269      31.4867      江苏    无锡市                  雪浪                        1188A
320281001  120.268      31.92        江苏    江阴市                  虹桥邮政                    1999A
320281002  120.237      31.909       江苏    江阴市                  五星公园                    2000A
320281003  120.302      31.92        江苏    江阴市                  第二实验小学                2001A
320282001  119.818      31.354       江苏    宜兴市                  宜兴市环保局                2002A
320282002  119.794      31.371       江苏    宜兴市                  宜园                        2003A
